ptransaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount,customer_segment,store_location
TXN001,2024-01-15,CUST001,iPhone 15,Electronics,1,999.99,999.99,Tech Enthusiasts,Store A
TXN001,2024-01-15,CUST001,AirPods Pro,Electronics,1,249.99,249.99,Tech Enthusiasts,Store A
TXN001,2024-01-15,CUST001,iPhone Case,Electronics,1,39.99,39.99,Tech Enthusiasts,Store A
TXN002,2024-01-16,CUST002,Samsung Galaxy S24,Electronics,1,899.99,899.99,Tech Enthusiasts,Store B
TXN002,2024-01-16,CUST002,Wireless Charger,Electronics,1,49.99,49.99,Tech Enthusiasts,Store B
TXN003,2024-01-17,CUST003,MacBook Pro,Electronics,1,1999.99,1999.99,Tech Enthusiasts,Store A
TXN003,2024-01-17,CUST003,Magic Mouse,Electronics,1,79.99,79.99,Tech Enthusiasts,Store A
TXN003,2024-01-17,CUST003,USB-C Cable,Electronics,1,29.99,29.99,Tech Enthusiasts,Store A
TXN004,2024-01-18,CUST004,iPad Pro,Electronics,1,799.99,799.99,Tech Enthusiasts,Store B
TXN004,2024-01-18,CUST004,Apple Pencil,Electronics,1,129.99,129.99,Tech Enthusiasts,Store B
TXN005,2024-01-19,CUST005,PlayStation 5,Electronics,1,499.99,499.99,Gamers,Store A
TXN005,2024-01-19,CUST005,PS5 Controller,Electronics,1,69.99,69.99,Gamers,Store A
TXN005,2024-01-19,CUST005,Gaming Headset,Electronics,1,159.99,159.99,Gamers,Store A
TXN006,2024-01-20,CUST006,Nintendo Switch,Electronics,1,299.99,299.99,Gamers,Store B
TXN006,2024-01-20,CUST006,Nintendo Pro Controller,Electronics,1,69.99,69.99,Gamers,Store B
TXN007,2024-01-21,CUST007,Gaming Laptop,Electronics,1,1299.99,1299.99,Gamers,Store A
TXN007,2024-01-21,CUST007,Gaming Mouse,Electronics,1,89.99,89.99,Gamers,Store A
TXN007,2024-01-21,CUST007,Gaming Keyboard,Electronics,1,149.99,149.99,Gamers,Store A
TXN008,2024-01-22,CUST008,Smart TV 55",Electronics,1,699.99,699.99,Home Entertainment,Store B
TXN008,2024-01-22,CUST008,Soundbar,Electronics,1,299.99,299.99,Home Entertainment,Store B
TXN009,2024-01-23,CUST009,4K Monitor,Electronics,1,449.99,449.99,Professionals,Store A
TXN009,2024-01-23,CUST009,Webcam 4K,Electronics,1,199.99,199.99,Professionals,Store A
TXN010,2024-01-24,CUST010,Bluetooth Speaker,Electronics,1,149.99,149.99,Music Lovers,Store B
TXN010,2024-01-24,CUST010,Wireless Headphones,Electronics,1,199.99,199.99,Music Lovers,Store B
TXN011,2024-01-25,CUST011,iPhone 15,Electronics,1,999.99,999.99,Tech Enthusiasts,Store A
TXN011,2024-01-25,CUST011,Wireless Charger,Electronics,1,49.99,49.99,Tech Enthusiasts,Store A
TXN012,2024-01-26,CUST012,MacBook Air,Electronics,1,1199.99,1199.99,Students,Store B
TXN012,2024-01-26,CUST012,Laptop Stand,Electronics,1,59.99,59.99,Students,Store B
TXN013,2024-01-27,CUST013,iPad Mini,Electronics,1,499.99,499.99,Students,Store A
TXN013,2024-01-27,CUST013,iPad Case,Electronics,1,49.99,49.99,Students,Store A
TXN014,2024-01-28,CUST014,Samsung Watch,Electronics,1,299.99,299.99,Fitness Enthusiasts,Store B
TXN014,2024-01-28,CUST014,Fitness Tracker,Electronics,1,199.99,199.99,Fitness Enthusiasts,Store B
TXN015,2024-01-29,CUST015,Smart Home Hub,Electronics,1,149.99,149.99,Smart Home,Store A
TXN015,2024-01-29,CUST015,Smart Lights,Electronics,1,79.99,79.99,Smart Home,Store A
TXN015,2024-01-29,CUST015,Smart Thermostat,Electronics,1,199.99,199.99,Smart Home,Store A
